subscribers,enriched_at,channel_name,channel_url,videos,estimated_monthly_earnings,avg_video_duration,scraped_at,total_views,rank
81400000,2026-02-13T20:53:35.381163+00:00,T-Series Bhakti Sagar,https://vidiq.com/fr/youtube-stats/channel/UCaayLD9i5x4MmIoVZxXSv_g/,31680,$621K - $2M,6 min,2026-02-13T20:51:37.149950,45670000000,27
81100000,2026-02-13T20:53:39.398158+00:00,ZAMZAM BROTHERS OFFICIAL,https://vidiq.com/fr/youtube-stats/channel/UCrnQFuUabBHaw-BRhPo8xEA/,22350,$368K - $1M,15 min,2026-02-13T20:51:37.149950,41410000000,28
80800000,2026-02-13T20:53:43.990643+00:00,5-Minute Crafts,https://vidiq.com/fr/youtube-stats/channel/UC295-Dw_tDNtZXFeAPAW6Aw/,8050,$49K - $148K,92 min,2026-02-13T20:51:37.149950,28420000000,29
80700000,2026-02-13T20:53:48.961384+00:00,Tips Official,https://vidiq.com/fr/youtube-stats/channel/UCJrDMFOdv1I2k8n9oK_V21w/,9340,$791K - $2M,55 min,2026-02-13T20:51:37.149950,53670000000,30
79600000,2026-02-13T20:53:52.393721+00:00,HYBE LABELS,https://vidiq.com/fr/youtube-stats/channel/UC3IZKseVpdzPSBaWxBxundA/,3010,$550K - $2M,3 min,2026-02-13T20:51:37.149950,43690000000,31
78200000,2026-02-13T20:53:57.180735+00:00,UR · Cristiano,https://vidiq.com/fr/youtube-stats/channel/UCtxD0x6AuNNqdXO9Wp5GHew/,129,$15K - $44K,17 min,2026-02-13T20:51:37.149950,962340000,32
77000000,2026-02-13T20:54:02.372047+00:00,Justin Bieber,https://vidiq.com/fr/youtube-stats/channel/UCIwFjwMjI0y7PDBVEO9-bkQ/,278,$437K - $1M,4 min,2026-02-13T20:51:37.149950,37050000000,33
74600000,2026-02-13T20:54:06.216966+00:00,Aaj Tak,https://vidiq.com/fr/youtube-stats/channel/UCt4t-jeY85JegMlZ-E5UWtA/,591620,$657K - $2M,11 min,2026-02-13T20:51:37.149950,43490000000,34
74200000,2026-02-13T20:54:10.703205+00:00,Shemaroo Filmi Gaane,https://vidiq.com/fr/youtube-stats/channel/UCP6uH_XlsxrXwZQ4DlqbqPg/,9920,$397K - $1M,12 min,2026-02-13T20:51:37.149950,34760000000,35
73000000,2026-02-13T20:54:14.634348+00:00,ISSEI / いっせい,https://vidiq.com/fr/youtube-stats/channel/UC6QZ_ss3i_8qLV_RczPZBkw/,4420,$2M - $5M,8 min,2026-02-13T20:51:37.149950,61960000000,36
72800000,2026-02-13T20:54:18.154217+00:00,Mark Rober,https://vidiq.com/fr/youtube-stats/channel/UCY1kMZp36IQSyNx_9h4mpCg/,247,$414K - $1M,21 min,2026-02-13T20:51:37.149950,15650000000,37
72300000,2026-02-13T20:54:21.984164+00:00,Fede Vigevani,https://vidiq.com/fr/youtube-stats/channel/UCoQm-PeHC-cbJclKJYJ8LzA/,1660,$728K - $2M,22 min,2026-02-13T20:51:37.149950,24260000000,38
72100000,2026-02-13T20:54:26.824735+00:00,Infobells - Hindi,https://vidiq.com/fr/youtube-stats/channel/UC1ciY6kR3yj3kaKZ6R7ewAg/,901,$493K - $1M,7 min,2026-02-13T20:51:37.149950,46690000000,39
71900000,2026-02-13T20:54:31.451705+00:00,HAR PAL GEO,https://vidiq.com/fr/youtube-stats/channel/UCe9JSDmyqNgA_l2BzGHq1Ug/,197210,$999K - $3M,15 min,2026-02-13T20:51:37.149950,78480000000,40
71200000,2026-02-13T20:54:35.207588+00:00,YRF,https://vidiq.com/fr/youtube-stats/channel/UCbTLwN10NoCU4WDzLf1JMOA/,4850,$929K - $3M,9 min,2026-02-13T20:51:37.149950,55820000000,41
70900000,2026-02-13T20:54:38.819216+00:00,El Reino Infantil,https://vidiq.com/fr/youtube-stats/channel/UCK1i2UviaXLUNrZlAFpw_jA/,2050,$760K - $2M,9 min,2026-02-13T20:51:37.149950,71460000000,42
