rank,channel_name,channel_url,videos,subscribers,total_views,scraped_at
37,Mark Rober,https://vidiq.com/fr/youtube-stats/channel/UCY1kMZp36IQSyNx_9h4mpCg/,246,72800000,15640000000,2026-02-10T14:01:00.426360
38,Fede Vigevani,https://vidiq.com/fr/youtube-stats/channel/UCoQm-PeHC-cbJclKJYJ8LzA/,1660,72300000,24230000000,2026-02-10T14:01:00.426360
39,Infobells - Hindi,https://vidiq.com/fr/youtube-stats/channel/UC1ciY6kR3yj3kaKZ6R7ewAg/,900,72100000,46650000000,2026-02-10T14:01:00.426360
40,HAR PAL GEO,https://vidiq.com/fr/youtube-stats/channel/UCe9JSDmyqNgA_l2BzGHq1Ug/,196880,71900000,78420000000,2026-02-10T14:01:00.426360
41,YRF,https://vidiq.com/fr/youtube-stats/channel/UCbTLwN10NoCU4WDzLf1JMOA/,4850,71200000,55750000000,2026-02-10T14:01:00.426360
42,El Reino Infantil,https://vidiq.com/fr/youtube-stats/channel/UCK1i2UviaXLUNrZlAFpw_jA/,2050,70900000,71420000000,2026-02-10T14:01:00.426360
43,Sony Music India,https://vidiq.com/fr/youtube-stats/channel/UC56gTxNs4f9xZ7Pa2i5xNzg/,11580,70000000,57030000000,2026-02-10T14:01:00.426360
44,Bispo Bruno Leonardo,https://vidiq.com/fr/youtube-stats/channel/UCVNouUw3d3l5JYVCxhAQXKA/,8960,69600000,10440000000,2026-02-10T14:01:00.426360
45,Wave Music,https://vidiq.com/fr/youtube-stats/channel/UC22nIfOTM7KLIQuFGMKzQbg/,21020,69300000,47810000000,2026-02-10T14:01:00.426360
46,Canal KondZilla,https://vidiq.com/fr/youtube-stats/channel/UCffDXn7ycAzwL2LDlbyWOTw/,3490,68000000,40120000000,2026-02-10T14:01:00.426360
47,Anaya Kandhal,https://vidiq.com/fr/youtube-stats/channel/UC4wEPe5mrHGAUjjTfXH_C-Q/,3710,67700000,90620000000,2026-02-10T14:01:00.426360
48,Zhong,https://vidiq.com/fr/youtube-stats/channel/UCyagEfIN1okQ-s996XAqCFQ/,2220,67500000,22340000000,2026-02-10T14:01:00.426360
49,ARY Digital HD,https://vidiq.com/fr/youtube-stats/channel/UC4JCksJF76g_MdzPVBJoC3Q/,213550,67099999,72120000000,2026-02-10T14:01:00.426360
50,YOLO AVENTURAS,https://vidiq.com/fr/youtube-stats/channel/UCOnIJiQuk1fDSp6p1GCZy3A/,3230,67099999,27220000000,2026-02-10T14:01:00.426360
51,EminemMusic,https://vidiq.com/fr/youtube-stats/channel/UCfM3zsQsOnfWNUppiycmBuw/,210,66400000,36410000000,2026-02-10T14:01:00.426360
52,Movieclips,https://vidiq.com/fr/youtube-stats/channel/UC3gNmTGu-TTbFPpfSs5kNkg/,44170,65800000,68530000000,2026-02-10T14:01:00.426360
53,Taylor Swift,https://vidiq.com/fr/youtube-stats/channel/UCqECaJ8Gagnn7YCbPEzWH6g/,652,63000000,43500000000,2026-02-10T14:01:00.426360
54,PANDA BOI,https://vidiq.com/fr/youtube-stats/channel/UC0Wju2yvRlfwqraLlz5152Q/,1270,62500000,27320000000,2026-02-10T14:01:00.426360
55,Dude Perfect,https://vidiq.com/fr/youtube-stats/channel/UCRijo3ddMTht_IHyNSNXpNQ/,542,61800000,20130000000,2026-02-10T14:01:00.426360
56,LooLoo Kids - Nursery Rhymes and Children's Songs,https://vidiq.com/fr/youtube-stats/channel/UC4NALVCmcmL5ntpV0thoH6w/,1100,61700000,40200000000,2026-02-10T14:01:00.426360
57,Shemaroo,https://vidiq.com/fr/youtube-stats/channel/UCF1JIbMUs6uqoZEY1Haw0GQ/,13610,61300000,27640000000,2026-02-10T14:01:00.426360
58,Saregama Music,https://vidiq.com/fr/youtube-stats/channel/UC_A7K2dXFsTMAciGmnNxy-Q/,10440,60600000,31820000000,2026-02-10T14:01:00.426360
59,Dangal TV Channel,https://vidiq.com/fr/youtube-stats/channel/UCNzmmbXIbMzlqE8nD1PBXfg/,49340,59800000,53350000000,2026-02-10T14:01:00.426360
60,आचार्य प्रशान्त - Acharya Prashant,https://vidiq.com/fr/youtube-stats/channel/UCMgapddJymOC6MBOiOqia1A/,18020,59800000,5360000000,2026-02-10T14:01:00.426360
61,Маша и Медведь,https://vidiq.com/fr/youtube-stats/channel/UCRv76wLBC73jiP7LX4C3l8Q/,2490,59600000,52350000000,2026-02-10T14:01:00.426360
62,ToRung,https://vidiq.com/fr/youtube-stats/channel/UCXbYlU08sOTBktOtjVsvR6w/,334,59600000,12350000000,2026-02-10T14:01:00.426360
63,SonyMusicIndiaVEVO,https://vidiq.com/fr/youtube-stats/channel/UC3MLnJtqc_phABBriLRhtgQ/,3810,59400000,41220000000,2026-02-10T14:01:00.426360
64,Ed Sheeran,https://vidiq.com/fr/youtube-stats/channel/UC0C-w0YjGpqDXGB8IHb662A/,744,59000000,37170000000,2026-02-10T14:01:00.426360
65,Marshmello,https://vidiq.com/fr/youtube-stats/channel/UCEdvpU2pFRCVqU6yIPyTpMQ/,555,58400000,17510000000,2026-02-10T14:01:00.426360
66,JioHotstar Kids,https://vidiq.com/fr/youtube-stats/channel/UCJg19noZp7-BYIGvypu_cow/,3170,58100000,16980000000,2026-02-10T14:01:00.426360
67,Billion Surprise Toys,https://vidiq.com/fr/youtube-stats/channel/UCRx3mKNUdl8QE06nEug7p6Q/,1940,58100000,14730000000,2026-02-10T14:01:00.426360
68,Mikecrack,https://vidiq.com/fr/youtube-stats/channel/UCqJ5zFEED1hWs0KNQCQuYdQ/,2230,57900000,21460000000,2026-02-10T14:01:00.426360
69,Billie Eilish,https://vidiq.com/fr/youtube-stats/channel/UCiGm_E4ZwYSHV3bcW1pnSeQ/,182,57600000,21720000000,2026-02-10T14:01:00.426360
70,Alfredo Larin,https://vidiq.com/fr/youtube-stats/channel/UCd5ApCORQsMOZZz5E9oVeFA/,2140,57500000,58850000000,2026-02-10T14:01:00.426360
71,Get Movies,https://vidiq.com/fr/youtube-stats/channel/UClZkHt2kNIgyrTTPnSQV3SA/,4280,57100000,37690000000,2026-02-10T14:01:00.426360
72,Ariana Grande,https://vidiq.com/fr/youtube-stats/channel/UC9CoOnJkIBMdeijd9qYoT_g/,231,56900000,30940000000,2026-02-10T14:01:00.426360
73,StarPlus,https://vidiq.com/fr/youtube-stats/channel/UC-LPIU24bQXVljUXivKEeRQ/,128130,56300000,64950000000,2026-02-10T14:01:00.426360
74,MrBeast 2,https://vidiq.com/fr/youtube-stats/channel/UC4-79UOlP48-QNGgCko5p2g/,205,55700000,9800000000,2026-02-10T14:01:00.426360
75,shfa,https://vidiq.com/fr/youtube-stats/channel/UCwHE1kM1CPJd_pI9FQ0-4dg/,1350,55500000,35280000000,2026-02-10T14:01:00.426360
76,Juan De Dios Pantoja,https://vidiq.com/fr/youtube-stats/channel/UCzoUWqjCbcfWFdOMvoep8FA/,495,55500000,9050000000,2026-02-10T14:01:00.426360
77,JuegaGerman,https://vidiq.com/fr/youtube-stats/channel/UCYiGq8XF7YQD00x7wAd62Zg/,2420,54900000,18000000000,2026-02-10T14:01:00.426360
78,ABS-CBN Entertainment,https://vidiq.com/fr/youtube-stats/channel/UCstEtN0pgOmCf02EdXsGChw/,253010,54600000,58500000000,2026-02-10T14:01:00.426360
79,Masha and The Bear,https://vidiq.com/fr/youtube-stats/channel/UCu59yAFE8fM0sVNTipR4edw/,2220,54600000,35380000000,2026-02-10T14:01:00.426360
80,Celine Dept,https://vidiq.com/fr/youtube-stats/channel/UC1a2ZCw7tugRZYRMnecNj3A/,2009,54300000,50120000000,2026-02-10T14:01:00.426360
81,Jess No Limit,https://vidiq.com/fr/youtube-stats/channel/UCvh1at6xpV1ytYOAzxmqUsA/,2780,54300000,7150000000,2026-02-10T14:01:00.426360
82,MrBeast Gaming,https://vidiq.com/fr/youtube-stats/channel/UCIPPMRA040LQr5QPyJEbmXA/,166,54100000,10230000000,2026-02-10T14:01:00.426360
83,HUM TV,https://vidiq.com/fr/youtube-stats/channel/UCEeEQxm6qc_qaTE7qTV5aLQ/,201770,53600000,50260000000,2026-02-10T14:01:00.426360
84,LUCCAS NETO,https://vidiq.com/fr/youtube-stats/channel/UC_gV70G_Y51LTa3qhu8KiEA/,4910,53500000,15140000000,2026-02-10T14:01:00.426360
85,shfa2 - شفا,https://vidiq.com/fr/youtube-stats/channel/UCQ7x25F6YXY9DvGeHFxLhRQ/,2029,53100000,36870000000,2026-02-10T14:01:00.426360
86,Ishtar Music,https://vidiq.com/fr/youtube-stats/channel/UCWi_65E_L8tQZ34C6wVAlpQ/,6130,52800000,27360000000,2026-02-10T14:01:00.426360
87,Real fools shorts official,https://vidiq.com/fr/youtube-stats/channel/UCgKEvLp8DXCTMq4QY6wW7bw/,536,52600000,18860000000,2026-02-10T14:01:00.426360
88,T-Series Bollywood Classics,https://vidiq.com/fr/youtube-stats/channel/UCRm96I5kmb_iGFofE5N691w/,2810,51900000,38370000000,2026-02-10T14:01:00.426360
89,BETER BÖCÜK,https://vidiq.com/fr/youtube-stats/channel/UC6gVx_vALsYT-z_u1djJbBQ/,2020,51900000,15160000000,2026-02-10T14:01:00.426360
90,Bad Bunny,https://vidiq.com/fr/youtube-stats/channel/UCmBA_wu8xGg1OfOkfW13Q0Q/,190,51800000,45450000000,2026-02-10T14:01:00.426360
91,IShowSpeed,https://vidiq.com/fr/youtube-stats/channel/UCWsDFcIhY2DBi3GB5uykGXA/,1790,50900000,7200000000,2026-02-10T14:01:00.426360
92,IndiaTV,https://vidiq.com/fr/youtube-stats/channel/UCttspZesZIDEwwpVIgoZtWQ/,384530,50200000,32640000000,2026-02-10T14:01:00.426360
93,Maria Clara & JP,https://vidiq.com/fr/youtube-stats/channel/UCKe6w0exI94U-RzqAyoY1VA/,1140,50100000,34600000000,2026-02-10T14:01:00.426360
94,Sierra & Rhia FAM,https://vidiq.com/fr/youtube-stats/channel/UCe6n0z9UbsxYCS8P83f84tw/,2100,50000000,84240000000,2026-02-10T14:01:00.426360
95,PowerKids TV,https://vidiq.com/fr/youtube-stats/channel/UCj-SWZSE0AmotGSQ3apROHw/,9100,50000000,30160000000,2026-02-10T14:01:00.426360
96,Fernanfloo,https://vidiq.com/fr/youtube-stats/channel/UCV4xOVpbcV8SdueDCOxLXtQ/,573,50000000,11020000000,2026-02-10T14:01:00.426360
97,ABP NEWS,https://vidiq.com/fr/youtube-stats/channel/UCRWFSbif-RFENbBrSiez1DA/,536020,49900000,24590000000,2026-02-10T14:01:00.426360
98,Shakira,https://vidiq.com/fr/youtube-stats/channel/UCYLNGLIzMhRTi6ZOLjAPSmw/,398,49800000,35260000000,2026-02-10T14:01:00.426360
99,Dushyant kukreja,https://vidiq.com/fr/youtube-stats/channel/UCo6y9hnRawAqtyWhRhblXqg/,1710,49800000,34009999999,2026-02-10T14:01:00.426360
100,Karla Bustillos,https://vidiq.com/fr/youtube-stats/channel/UCyI6QRxXArFsfWlMdvoG2hw/,1680,49700000,15160000000,2026-02-10T14:01:00.426360
