rank,channel_name,channel_url,videos,subscribers,total_views,scraped_at
37,Mark Rober,https://vidiq.com/fr/youtube-stats/channel/UCY1kMZp36IQSyNx_9h4mpCg/,246,72800000,15650000000,2026-02-12T10:09:01.522458
38,Fede Vigevani,https://vidiq.com/fr/youtube-stats/channel/UCoQm-PeHC-cbJclKJYJ8LzA/,1660,72300000,24250000000,2026-02-12T10:09:01.522458
39,Infobells - Hindi,https://vidiq.com/fr/youtube-stats/channel/UC1ciY6kR3yj3kaKZ6R7ewAg/,901,72100000,46670000000,2026-02-12T10:09:01.522458
40,HAR PAL GEO,https://vidiq.com/fr/youtube-stats/channel/UCe9JSDmyqNgA_l2BzGHq1Ug/,197110,71900000,78450000000,2026-02-12T10:09:01.522458
41,YRF,https://vidiq.com/fr/youtube-stats/channel/UCbTLwN10NoCU4WDzLf1JMOA/,4850,71200000,55790000000,2026-02-12T10:09:01.522458
42,El Reino Infantil,https://vidiq.com/fr/youtube-stats/channel/UCK1i2UviaXLUNrZlAFpw_jA/,2050,70900000,71440000000,2026-02-12T10:09:01.522458
43,Sony Music India,https://vidiq.com/fr/youtube-stats/channel/UC56gTxNs4f9xZ7Pa2i5xNzg/,11590,70100000,57080000000,2026-02-12T10:09:01.522458
44,Bispo Bruno Leonardo,https://vidiq.com/fr/youtube-stats/channel/UCVNouUw3d3l5JYVCxhAQXKA/,8980,69700000,10450000000,2026-02-12T10:09:01.522458
45,Wave Music,https://vidiq.com/fr/youtube-stats/channel/UC22nIfOTM7KLIQuFGMKzQbg/,21030,69300000,47830000000,2026-02-12T10:09:01.522458
46,Canal KondZilla,https://vidiq.com/fr/youtube-stats/channel/UCffDXn7ycAzwL2LDlbyWOTw/,3500,68000000,40120000000,2026-02-12T10:09:01.522458
47,Anaya Kandhal,https://vidiq.com/fr/youtube-stats/channel/UC4wEPe5mrHGAUjjTfXH_C-Q/,3710,67800000,90800000000,2026-02-12T10:09:01.522458
48,Zhong,https://vidiq.com/fr/youtube-stats/channel/UCyagEfIN1okQ-s996XAqCFQ/,2230,67600000,22360000000,2026-02-12T10:09:01.522458
49,ARY Digital HD,https://vidiq.com/fr/youtube-stats/channel/UC4JCksJF76g_MdzPVBJoC3Q/,213830,67099999,72170000000,2026-02-12T10:09:01.522458
50,YOLO AVENTURAS,https://vidiq.com/fr/youtube-stats/channel/UCOnIJiQuk1fDSp6p1GCZy3A/,3240,67099999,27240000000,2026-02-12T10:09:01.522458
51,EminemMusic,https://vidiq.com/fr/youtube-stats/channel/UCfM3zsQsOnfWNUppiycmBuw/,210,66400000,36410000000,2026-02-12T10:09:01.522458
52,Movieclips,https://vidiq.com/fr/youtube-stats/channel/UC3gNmTGu-TTbFPpfSs5kNkg/,44180,65800000,68540000000,2026-02-12T10:09:01.522458
53,Taylor Swift,https://vidiq.com/fr/youtube-stats/channel/UCqECaJ8Gagnn7YCbPEzWH6g/,652,63000000,43500000000,2026-02-12T10:09:01.522458
54,PANDA BOI,https://vidiq.com/fr/youtube-stats/channel/UC0Wju2yvRlfwqraLlz5152Q/,1270,62500000,27320000000,2026-02-12T10:09:01.522458
55,Dude Perfect,https://vidiq.com/fr/youtube-stats/channel/UCRijo3ddMTht_IHyNSNXpNQ/,542,61800000,20130000000,2026-02-12T10:09:01.522458
56,LooLoo Kids - Nursery Rhymes and Children's Songs,https://vidiq.com/fr/youtube-stats/channel/UC4NALVCmcmL5ntpV0thoH6w/,935,61700000,40200000000,2026-02-12T10:09:01.522458
57,Shemaroo,https://vidiq.com/fr/youtube-stats/channel/UCF1JIbMUs6uqoZEY1Haw0GQ/,13620,61300000,27650000000,2026-02-12T10:09:01.522458
58,Saregama Music,https://vidiq.com/fr/youtube-stats/channel/UC_A7K2dXFsTMAciGmnNxy-Q/,10450,60600000,31860000000,2026-02-12T10:09:01.522458
59,Dangal TV Channel,https://vidiq.com/fr/youtube-stats/channel/UCNzmmbXIbMzlqE8nD1PBXfg/,49390,59900000,53470000000,2026-02-12T10:09:01.522458
60,आचार्य प्रशान्त - Acharya Prashant,https://vidiq.com/fr/youtube-stats/channel/UCMgapddJymOC6MBOiOqia1A/,18070,59800000,5370000000,2026-02-12T10:09:01.522458
61,Маша и Медведь,https://vidiq.com/fr/youtube-stats/channel/UCRv76wLBC73jiP7LX4C3l8Q/,2490,59600000,52380000000,2026-02-12T10:09:01.522458
62,ToRung,https://vidiq.com/fr/youtube-stats/channel/UCXbYlU08sOTBktOtjVsvR6w/,335,59600000,12360000000,2026-02-12T10:09:01.522458
63,SonyMusicIndiaVEVO,https://vidiq.com/fr/youtube-stats/channel/UC3MLnJtqc_phABBriLRhtgQ/,3810,59400000,41260000000,2026-02-12T10:09:01.522458
64,Ed Sheeran,https://vidiq.com/fr/youtube-stats/channel/UC0C-w0YjGpqDXGB8IHb662A/,744,59000000,37170000000,2026-02-12T10:09:01.522458
65,Marshmello,https://vidiq.com/fr/youtube-stats/channel/UCEdvpU2pFRCVqU6yIPyTpMQ/,555,58400000,17510000000,2026-02-12T10:09:01.522458
66,JioHotstar Kids,https://vidiq.com/fr/youtube-stats/channel/UCJg19noZp7-BYIGvypu_cow/,3180,58100000,16989999999,2026-02-12T10:09:01.522458
67,Billion Surprise Toys,https://vidiq.com/fr/youtube-stats/channel/UCRx3mKNUdl8QE06nEug7p6Q/,1950,58100000,14730000000,2026-02-12T10:09:01.522458
68,Mikecrack,https://vidiq.com/fr/youtube-stats/channel/UCqJ5zFEED1hWs0KNQCQuYdQ/,2230,57900000,21470000000,2026-02-12T10:09:01.522458
69,Billie Eilish,https://vidiq.com/fr/youtube-stats/channel/UCiGm_E4ZwYSHV3bcW1pnSeQ/,182,57700000,21720000000,2026-02-12T10:09:01.522458
70,Alfredo Larin,https://vidiq.com/fr/youtube-stats/channel/UCd5ApCORQsMOZZz5E9oVeFA/,2140,57500000,58900000000,2026-02-12T10:09:01.522458
71,Get Movies,https://vidiq.com/fr/youtube-stats/channel/UClZkHt2kNIgyrTTPnSQV3SA/,4290,57100000,37700000000,2026-02-12T10:09:01.522458
72,Ariana Grande,https://vidiq.com/fr/youtube-stats/channel/UC9CoOnJkIBMdeijd9qYoT_g/,231,56900000,30940000000,2026-02-12T10:09:01.522458
73,StarPlus,https://vidiq.com/fr/youtube-stats/channel/UC-LPIU24bQXVljUXivKEeRQ/,128250,56300000,64970000000,2026-02-12T10:09:01.522458
74,MrBeast 2,https://vidiq.com/fr/youtube-stats/channel/UC4-79UOlP48-QNGgCko5p2g/,205,55700000,9830000000,2026-02-12T10:09:01.522458
75,shfa,https://vidiq.com/fr/youtube-stats/channel/UCwHE1kM1CPJd_pI9FQ0-4dg/,1350,55500000,35310000000,2026-02-12T10:09:01.522458
76,Juan De Dios Pantoja,https://vidiq.com/fr/youtube-stats/channel/UCzoUWqjCbcfWFdOMvoep8FA/,495,55500000,9050000000,2026-02-12T10:09:01.522458
77,JuegaGerman,https://vidiq.com/fr/youtube-stats/channel/UCYiGq8XF7YQD00x7wAd62Zg/,2420,54900000,18010000000,2026-02-12T10:09:01.522458
78,ABS-CBN Entertainment,https://vidiq.com/fr/youtube-stats/channel/UCstEtN0pgOmCf02EdXsGChw/,253040,54600000,58510000000,2026-02-12T10:09:01.522458
79,Masha and The Bear,https://vidiq.com/fr/youtube-stats/channel/UCu59yAFE8fM0sVNTipR4edw/,2220,54600000,35400000000,2026-02-12T10:09:01.522458
80,Celine Dept,https://vidiq.com/fr/youtube-stats/channel/UC1a2ZCw7tugRZYRMnecNj3A/,2009,54300000,50190000000,2026-02-12T10:09:01.522458
81,Jess No Limit,https://vidiq.com/fr/youtube-stats/channel/UCvh1at6xpV1ytYOAzxmqUsA/,2780,54300000,7150000000,2026-02-12T10:09:01.522458
82,MrBeast Gaming,https://vidiq.com/fr/youtube-stats/channel/UCIPPMRA040LQr5QPyJEbmXA/,166,54100000,10240000000,2026-02-12T10:09:01.522458
83,HUM TV,https://vidiq.com/fr/youtube-stats/channel/UCEeEQxm6qc_qaTE7qTV5aLQ/,201990,53600000,50290000000,2026-02-12T10:09:01.522458
84,LUCCAS NETO,https://vidiq.com/fr/youtube-stats/channel/UC_gV70G_Y51LTa3qhu8KiEA/,4910,53500000,15140000000,2026-02-12T10:09:01.522458
85,shfa2 - شفا,https://vidiq.com/fr/youtube-stats/channel/UCQ7x25F6YXY9DvGeHFxLhRQ/,2029,53100000,36890000000,2026-02-12T10:09:01.522458
86,Ishtar Music,https://vidiq.com/fr/youtube-stats/channel/UCWi_65E_L8tQZ34C6wVAlpQ/,6140,52800000,27500000000,2026-02-12T10:09:01.522458
87,Real fools shorts official,https://vidiq.com/fr/youtube-stats/channel/UCgKEvLp8DXCTMq4QY6wW7bw/,538,52600000,18860000000,2026-02-12T10:09:01.522458
88,Bad Bunny,https://vidiq.com/fr/youtube-stats/channel/UCmBA_wu8xGg1OfOkfW13Q0Q/,190,51900000,45450000000,2026-02-12T10:09:01.522458
89,T-Series Bollywood Classics,https://vidiq.com/fr/youtube-stats/channel/UCRm96I5kmb_iGFofE5N691w/,2820,51900000,38410000000,2026-02-12T10:09:01.522458
90,BETER BÖCÜK,https://vidiq.com/fr/youtube-stats/channel/UC6gVx_vALsYT-z_u1djJbBQ/,2029,51900000,15180000000,2026-02-12T10:09:01.522458
91,IShowSpeed,https://vidiq.com/fr/youtube-stats/channel/UCWsDFcIhY2DBi3GB5uykGXA/,1790,50900000,7200000000,2026-02-12T10:09:01.522458
92,IndiaTV,https://vidiq.com/fr/youtube-stats/channel/UCttspZesZIDEwwpVIgoZtWQ/,385200,50200000,32659999999,2026-02-12T10:09:01.522458
93,Sierra & Rhia FAM,https://vidiq.com/fr/youtube-stats/channel/UCe6n0z9UbsxYCS8P83f84tw/,2100,50100000,84490000000,2026-02-12T10:09:01.522458
94,Maria Clara & JP,https://vidiq.com/fr/youtube-stats/channel/UCKe6w0exI94U-RzqAyoY1VA/,1140,50100000,34620000000,2026-02-12T10:09:01.522458
95,PowerKids TV,https://vidiq.com/fr/youtube-stats/channel/UCj-SWZSE0AmotGSQ3apROHw/,9100,50000000,30180000000,2026-02-12T10:09:01.522458
96,Fernanfloo,https://vidiq.com/fr/youtube-stats/channel/UCV4xOVpbcV8SdueDCOxLXtQ/,573,50000000,11020000000,2026-02-12T10:09:01.522458
97,ABP NEWS,https://vidiq.com/fr/youtube-stats/channel/UCRWFSbif-RFENbBrSiez1DA/,536790,49900000,24610000000,2026-02-12T10:09:01.522458
98,Shakira,https://vidiq.com/fr/youtube-stats/channel/UCYLNGLIzMhRTi6ZOLjAPSmw/,398,49800000,35260000000,2026-02-12T10:09:01.522458
99,Dushyant kukreja,https://vidiq.com/fr/youtube-stats/channel/UCo6y9hnRawAqtyWhRhblXqg/,1720,49800000,34020000000,2026-02-12T10:09:01.522458
100,Techno Gamerz,https://vidiq.com/fr/youtube-stats/channel/UCX8pnu3DYUnx8qy8V_c6oHg/,1160,49800000,15280000000,2026-02-12T10:09:01.522458
